#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-04/I20-1079-04.sam.bz2 --bowtie2out Metaphlan/I20-1079-04/I20-1079-04.bowtie2 --output_file Metaphlan/I20-1079-04/I20-1079-04.tsv --sample_id_key I20-1079-04 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-04	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:33698462
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.53109	10.20083	33691042
k__Viruses	10239	2.46891	0.25822	7420
k__Bacteria|p__Actinobacteria	2|201174	45.3356	4.74167	11083837
k__Bacteria|p__Proteobacteria	2|1224	25.06817	2.62189	13408281
k__Bacteria|p__Firmicutes	2|1239	24.96726	2.61134	8562119
k__Viruses|p__Viruses_unclassified	10239|	2.46891	0.25822	7420
k__Bacteria|p__Verrucomicrobia	2|74201	2.14793	0.22465	626969
k__Bacteria|p__Chloroflexi	2|200795	0.01094	0.00114	8920
k__Bacteria|p__Synergistetes	2|508458	0.00063	7e-05	180
k__Bacteria|p__Planctomycetes	2|203682	0.00057	6e-05	736
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	44.40776	4.64463	10766525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	25.05842	2.62087	13405859
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	23.47816	2.45559	8027063
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	2.46891	0.25822	7420
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	2.14793	0.22465	626969
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.91539	0.09574	314438
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.52569	0.05498	245499
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.52162	0.05456	189946
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.43672	0.04568	97586
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01245	0.0013	2874
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01094	0.00114	8920
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00974	0.00102	2422
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00507	0.00053	2025
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00063	7e-05	180
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00057	6e-05	736
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	44.37794	4.64151	10759004
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	24.8229	2.59624	13317954
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	23.47816	2.45559	8027063
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	2.14793	0.22465	626969
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.82239	0.08601	292364
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.52569	0.05498	245499
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.49944	0.05224	185003
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.43672	0.04568	97586
