#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-20/I20-1079-20.sam.bz2 --bowtie2out Metaphlan/I20-1079-20/I20-1079-20.bowtie2 --output_file Metaphlan/I20-1079-20/I20-1079-20.tsv --sample_id_key I20-1079-20 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-20	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:32766694
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.76916	10.11339	32761689
k__Viruses	10239	1.23084	0.12603	5005
k__Bacteria|p__Actinobacteria	2|201174	63.34354	6.48601	14823256
k__Bacteria|p__Proteobacteria	2|1224	32.73351	3.35172	17222659
k__Bacteria|p__Firmicutes	2|1239	2.67036	0.27343	699397
k__Viruses|p__Viruses_unclassified	10239|	1.23084	0.12603	5005
k__Bacteria|p__Chloroflexi	2|200795	0.01668	0.00171	13321
k__Bacteria|p__Planctomycetes	2|203682	0.0036	0.00037	2818
k__Bacteria|p__Tenericutes	2|544448	0.00147	0.00015	238
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	63.0216	6.45305	14731184
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	32.69857	3.34815	17214015
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.59399	0.16322	339230
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.23084	0.12603	5005
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.5161	0.05285	211960
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.48515	0.04968	123469
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.29725	0.03044	86418
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.07038	0.00721	22888
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03483	0.00357	8518
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.0247	0.00253	5654
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01668	0.00171	13321
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00473	0.00048	1850
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.0036	0.00037	2818
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00147	0.00015	238
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.0001	1e-05	126
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	62.98373	6.44917	14722600
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	31.96018	3.27254	16962310
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.59399	0.16322	339230
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.61182	0.06265	189441
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.5161	0.05285	211960
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.38882	0.03981	102542
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.15043	0.0154	51817
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.14681	0.01503	34601
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.13991	0.01433	570
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.12412	0.01271	61543
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.09633	0.00986	20927
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.07038	0.00721	22888
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.03483	0.00357	8518
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.03297	0.00338	7434
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.02445	0.0025	5524
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.01668	0.00171	13321
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.0049	0.0005	1150
