#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-36/I20-1079-36.sam.bz2 --bowtie2out Metaphlan/I20-1079-36/I20-1079-36.bowtie2 --output_file Metaphlan/I20-1079-36/I20-1079-36.tsv --sample_id_key I20-1079-36 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-36	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:35291438
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.85132	10.82927	35286393
k__Viruses	10239	1.14868	0.12584	5045
k__Bacteria|p__Actinobacteria	2|201174	61.11556	6.69527	15559626
k__Bacteria|p__Proteobacteria	2|1224	29.57409	3.23987	16769424
k__Bacteria|p__Firmicutes	2|1239	8.14612	0.89242	2944448
k__Viruses|p__Viruses_unclassified	10239|	1.14868	0.12584	5045
k__Bacteria|p__Chloroflexi	2|200795	0.01297	0.00142	11080
k__Bacteria|p__Planctomycetes	2|203682	0.00206	0.00023	1726
k__Bacteria|p__Tenericutes	2|544448	0.00051	6e-05	89
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	60.60834	6.63971	15382393
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	29.55544	3.23783	16764568
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	6.76814	0.74146	2417903
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.14868	0.12584	5045
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.84706	0.0928	287177
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.48237	0.05284	171226
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.43734	0.04791	217147
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.09037	0.0099	20880
