#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-21/I20-1079-21.sam.bz2 --bowtie2out Metaphlan/I20-1079-21/I20-1079-21.bowtie2 --output_file Metaphlan/I20-1079-21/I20-1079-21.tsv --sample_id_key I20-1079-21 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-21	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:35191027
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.20529	11.05567	35183567
k__Viruses	10239	1.79471	0.20204	7460
k__Bacteria|p__Actinobacteria	2|201174	65.637	7.38922	16818367
k__Bacteria|p__Proteobacteria	2|1224	29.29727	3.2982	17261345
k__Bacteria|p__Firmicutes	2|1239	3.22419	0.36297	1068532
k__Viruses|p__Viruses_unclassified	10239|	1.79471	0.20204	7460
k__Bacteria|p__Chloroflexi	2|200795	0.03067	0.00345	26925
k__Bacteria|p__Bacteroidetes	2|976	0.00728	0.00082	3835
k__Bacteria|p__Tenericutes	2|544448	0.00452	0.00051	807
k__Bacteria|p__Planctomycetes	2|203682	0.00436	0.00049	3756
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	65.21247	7.34143	16684290
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	29.25379	3.29331	17249614
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.91775	0.2159	634894
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.79471	0.20204	7460
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.55879	0.06291	237448
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.54133	0.06094	127097
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.40001	0.04503	127867
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.18577	0.02091	63779
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04348	0.00489	11731
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.03067	0.00345	26925
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.02376	0.00267	5928
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.01608	0.00181	3398
k__Bacteria|p__Bacteroidetes|c__Sphingobacteriia	2|976|117747	0.00728	0.00082	3835
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00452	0.00051	807
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00446	0.0005	1916
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00436	0.00049	3756
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00077	9e-05	282
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	65.06138	7.32442	16648391
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	28.80596	3.24289	17083832
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.78948	0.20145	604277
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	1.18442	0.13334	4696
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.55879	0.06291	237448
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.54133	0.06094	127097
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.37897	0.04266	129012
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.20669	0.02327	78519
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.19331	0.02176	49348
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.18577	0.02091	63779
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.14588	0.01642	34435
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.12827	0.01444	30617
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.06458	0.00727	35208
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.04348	0.00489	11731
