#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-09/I20-1079-09.sam.bz2 --bowtie2out Metaphlan/I20-1079-09/I20-1079-09.bowtie2 --output_file Metaphlan/I20-1079-09/I20-1079-09.tsv --sample_id_key I20-1079-09 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-09	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:39112776
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.02783	11.59828	39108005
k__Viruses	10239	0.97217	0.11386	4771
k__Bacteria|p__Actinobacteria	2|201174	59.22273	6.93625	15971699
k__Bacteria|p__Proteobacteria	2|1224	35.31877	4.13658	21720783
k__Bacteria|p__Firmicutes	2|1239	4.4582	0.52215	1389626
k__Viruses|p__Viruses_unclassified	10239|	0.97217	0.11386	4771
k__Bacteria|p__Chloroflexi	2|200795	0.02411	0.00282	22019
k__Bacteria|p__Planctomycetes	2|203682	0.00402	0.00047	3878
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	48.84449	5.72074	13228486
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	35.2734	4.13127	21707871
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	10.30229	1.20662	2723485
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.53346	0.41384	1018005
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.97217	0.11386	4771
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.74148	0.08684	325664
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.18326	0.02146	45957
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.07518	0.00881	19435
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04537	0.00531	12912
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.02411	0.00282	22019
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00402	0.00047	3878
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00077	9e-05	293
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	48.83425	5.71954	13225849
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	35.00765	4.10015	21598810
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	9.97036	1.16774	2617687
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.47886	0.40745	1002271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.74148	0.08684	325664
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.49464	0.05793	2655
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.33193	0.03888	105798
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.19485	0.02282	69008
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.18326	0.02146	45957
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.07518	0.00881	19435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0702	0.00822	39816
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.0546	0.00639	15734
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.04537	0.00531	12912
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Ortervirales	10239|||2169561	0.02846	0.00333	31
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.02411	0.00282	22019
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.00884	0.00104	2262
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00402	0.00047	3878
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Herpesvirales	10239|||548681	0.00219	0.00026	33
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.0014	0.00016	375
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00077	9e-05	293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00071	8e-05	237
