#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-39/I20-1079-39.sam.bz2 --bowtie2out Metaphlan/I20-1079-39/I20-1079-39.bowtie2 --output_file Metaphlan/I20-1079-39/I20-1079-39.tsv --sample_id_key I20-1079-39 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-39	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:43178555
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.24251	8.89861	43144517
k__Viruses	10239	8.75749	0.85409	34038
k__Bacteria|p__Proteobacteria	2|1224	71.56514	6.97954	36728723
k__Bacteria|p__Firmicutes	2|1239	19.6667	1.91804	6414043
k__Viruses|p__Viruses_unclassified	10239|	8.75749	0.85409	34038
k__Bacteria|p__Tenericutes	2|544448	0.00606	0.00059	938
k__Bacteria|p__Actinobacteria	2|201174	0.0046	0.00045	813
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	71.55182	6.97824	36725635
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	9.09598	0.8871	2555888
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	8.75749	0.85409	34038
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.03342	0.49089	2066141
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.69768	0.45815	1561801
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.83963	0.08189	230213
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01332	0.0013	3088
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00606	0.00059	938
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.00276	0.00027	520
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00184	0.00018	293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	71.07905	6.93213	36562828
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	9.09598	0.8871	2555888
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.03342	0.49089	2066141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	4.69768	0.45815	1561801
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	3.91106	0.38143	15794
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.76031	0.07415	215503
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.34095	0.03325	100551
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.13182	0.01286	62256
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.07931	0.00774	14710
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01332	0.0013	3088
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00606	0.00059	938
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.00276	0.00027	520
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00184	0.00018	293
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	70.61125	6.88651	36331563
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	9.09598	0.8871	2555888
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.03342	0.49089	2066141
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.02036	0.39209	1323809
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	3.91106	0.38143	15794
