#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-24/I20-1079-24.sam.bz2 --bowtie2out Metaphlan/I20-1079-24/I20-1079-24.bowtie2 --output_file Metaphlan/I20-1079-24/I20-1079-24.tsv --sample_id_key I20-1079-24 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-24	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:55946844
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.4733	11.29733	55939177
k__Viruses	10239	2.5267	0.29285	7667
k__Bacteria|p__Proteobacteria	2|1224	69.06913	8.00524	43676409
k__Bacteria|p__Firmicutes	2|1239	27.56083	3.19435	11970791
k__Viruses|p__Viruses_unclassified	10239|	2.5267	0.29285	7667
k__Bacteria|p__Actinobacteria	2|201174	0.83743	0.09706	288541
k__Bacteria|p__Chloroflexi	2|200795	0.00302	0.00035	2731
k__Bacteria|p__Tenericutes	2|544448	0.00264	0.00031	485
k__Bacteria|p__Planctomycetes	2|203682	0.00025	3e-05	220
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	68.93849	7.99009	43640419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	15.18628	1.76012	6861321
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	9.99512	1.15845	4419374
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	2.5267	0.29285	7667
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.22299	0.25765	650253
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.49919	0.05786	194489
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.33553	0.03889	93360
