#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-10/I20-1079-10.sam.bz2 --bowtie2out Metaphlan/I20-1079-10/I20-1079-10.bowtie2 --output_file Metaphlan/I20-1079-10/I20-1079-10.tsv --sample_id_key I20-1079-10 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-10	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34808902
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.78461	11.09086	34803492
k__Viruses	10239	1.21539	0.13646	5410
k__Bacteria|p__Actinobacteria	2|201174	65.78199	7.38555	16639566
k__Bacteria|p__Proteobacteria	2|1224	28.41621	3.19038	16347130
k__Bacteria|p__Firmicutes	2|1239	3.35117	0.37625	1084914
k__Bacteria|p__Bacteroidetes	2|976	1.22586	0.13763	723691
k__Viruses|p__Viruses_unclassified	10239|	1.21539	0.13646	5410
k__Bacteria|p__Chloroflexi	2|200795	0.00828	0.00093	7248
k__Bacteria|p__Planctomycetes	2|203682	0.0011	0.00012	943
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	65.68052	7.37416	16614775
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	28.41339	3.19006	16346377
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.35921	0.1526	488392
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.27175	0.14278	330988
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.22586	0.13763	723691
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.21539	0.13646	5410
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.72021	0.08086	265534
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.09371	0.01052	22869
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00828	0.00093	7248
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00776	0.00087	1922
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00282	0.00032	753
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.0011	0.00012	943
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	65.56563	7.36126	16587286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	27.95384	3.13847	16181740
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.34164	0.15063	483955
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.27175	0.14278	330988
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.22586	0.13763	723691
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.72021	0.08086	265534
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.413	0.04637	140218
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.11386	0.01278	27224
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.08777	0.00985	451
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.08458	0.0095	20300
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.04371	0.00491	23762
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.01757	0.00197	4437
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00914	0.00103	2569
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00828	0.00093	7248
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.00776	0.00087	1922
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00284	0.00032	657
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00282	0.00032	753
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.0011	0.00012	943
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00103	0.00012	265
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	65.56563	7.36126	16587286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	27.85345	3.1272	16125209
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.27175	0.14278	330988
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.22586	0.13763	723691
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.17619	0.13205	429394
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.64393	0.0723	233363
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.413	0.04637	140218
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.12779	0.01435	499
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.11386	0.01278	27224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.11102	0.01246	42221
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.09529	0.0107	54232
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.08777	0.00985	451
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.08407	0.00944	20162
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.05443	0.00611	12340
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.05185	0.00582	20761
