#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-43/I20-1079-43.sam.bz2 --bowtie2out Metaphlan/I20-1079-43/I20-1079-43.bowtie2 --output_file Metaphlan/I20-1079-43/I20-1079-43.tsv --sample_id_key I20-1079-43 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-43	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:29765967
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.69138	10.72817	29764622
k__Viruses	10239	0.30862	0.03321	1345
k__Bacteria|p__Actinobacteria	2|201174	67.80437	7.29669	18831290
k__Bacteria|p__Firmicutes	2|1239	27.0677	2.91286	8232116
k__Bacteria|p__Proteobacteria	2|1224	4.81659	0.51833	2699227
k__Viruses|p__Viruses_unclassified	10239|	0.30862	0.03321	1345
k__Bacteria|p__Chloroflexi	2|200795	0.00228	0.00025	1913
k__Bacteria|p__Tenericutes	2|544448	0.00045	5e-05	76
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	67.72843	7.28851	18812515
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	17.8449	1.92036	4096125
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	7.67308	0.82573	3702451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.8113	0.51776	2697874
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.54972	0.16677	433540
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.30862	0.03321	1345
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.07595	0.00817	18775
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00529	0.00057	1353
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00228	0.00025	1913
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00045	5e-05	76
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	67.68906	7.28428	18803136
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	17.8449	1.92036	4096125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	7.67308	0.82573	3702451
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	4.77271	0.51361	2684173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.40175	0.15085	401459
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.14798	0.01592	32081
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.07216	0.00777	17757
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.03901	0.0042	9289
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.03273	0.00352	10651
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.00585	0.00063	3050
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00529	0.00057	1353
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00378	0.00041	1018
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00228	0.00025	1913
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00045	5e-05	76
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00037	4e-05	90
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	67.68906	7.28428	18803136
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	17.8449	1.92036	4096125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	7.24533	0.7797	3558564
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	4.74978	0.51114	2671667
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.26852	0.13651	370525
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.35133	0.03781	110934
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.12525	0.01348	25525
