#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-32/I20-1079-32.sam.bz2 --bowtie2out Metaphlan/I20-1079-32/I20-1079-32.bowtie2 --output_file Metaphlan/I20-1079-32/I20-1079-32.tsv --sample_id_key I20-1079-32 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-32	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:28830951
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.40664	9.71847	28828761
k__Viruses	10239	0.59336	0.05801	2190
k__Bacteria|p__Actinobacteria	2|201174	74.8971	7.3223	16276525
k__Bacteria|p__Proteobacteria	2|1224	22.37372	2.18736	11620358
k__Bacteria|p__Firmicutes	2|1239	2.0776	0.20312	888597
k__Viruses|p__Viruses_unclassified	10239|	0.59336	0.05801	2190
k__Bacteria|p__Chloroflexi	2|200795	0.05393	0.00527	41116
k__Bacteria|p__Planctomycetes	2|203682	0.00253	0.00025	1893
k__Bacteria|p__Tenericutes	2|544448	0.00176	0.00017	272
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	74.6794	7.30101	16228436
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	22.35081	2.18512	11615034
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.08068	0.10565	632654
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.86143	0.08422	227830
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.59336	0.05801	2190
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.20879	0.02041	46168
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.13263	0.01297	27045
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.05393	0.00527	41116
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02291	0.00224	5324
