#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-22/I20-1079-22.sam.bz2 --bowtie2out Metaphlan/I20-1079-22/I20-1079-22.bowtie2 --output_file Metaphlan/I20-1079-22/I20-1079-22.tsv --sample_id_key I20-1079-22 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-22	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:45443337
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.39713	9.95001	45437968
k__Viruses	10239	1.60287	0.16208	5369
k__Bacteria|p__Proteobacteria	2|1224	51.31276	5.1888	28586637
k__Bacteria|p__Firmicutes	2|1239	46.55143	4.70733	16747710
k__Viruses|p__Viruses_unclassified	10239|	1.60287	0.16208	5369
k__Bacteria|p__Actinobacteria	2|201174	0.51819	0.0524	99264
k__Bacteria|p__Tenericutes	2|544448	0.01169	0.00118	1876
k__Bacteria|p__Chloroflexi	2|200795	0.00247	0.00025	1949
k__Bacteria|p__Planctomycetes	2|203682	0.00059	6e-05	532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	51.12341	5.16965	28541128
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	37.43715	3.78568	14153755
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	7.57828	0.76632	2013890
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.60287	0.16208	5369
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.45681	0.14731	563239
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.32534	0.0329	67558
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.19242	0.01946	31612
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.18934	0.01915	45509
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.07799	0.00789	16363
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01169	0.00118	1876
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00247	0.00025	1949
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.0012	0.00012	463
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00059	6e-05	532
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00042	4e-05	94
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	50.90959	5.14803	28463399
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	37.43715	3.78568	14153755
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	7.21407	0.72949	1939469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.45681	0.14731	563239
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.36421	0.03683	74421
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.25186	0.02547	50955
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.19019	0.01923	31048
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.18934	0.01915	45509
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.14548	0.01471	44486
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.07799	0.00789	16363
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.07349	0.00743	16603
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.06723	0.0068	32921
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.02045	0.00207	79
