#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-25/I20-1079-25.sam.bz2 --bowtie2out Metaphlan/I20-1079-25/I20-1079-25.bowtie2 --output_file Metaphlan/I20-1079-25/I20-1079-25.tsv --sample_id_key I20-1079-25 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-25	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:26164930
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.61321	7.33096	26163868
k__Viruses	10239	0.38679	0.02847	1062
k__Bacteria|p__Actinobacteria	2|201174	56.587	4.16448	10815477
k__Bacteria|p__Proteobacteria	2|1224	21.77683	1.60265	8822093
k__Bacteria|p__Firmicutes	2|1239	17.00241	1.25128	4951648
k__Bacteria|p__Bacteroidetes	2|976	4.21779	0.31041	1557910
k__Viruses|p__Viruses_unclassified	10239|	0.38679	0.02847	1062
k__Bacteria|p__Chloroflexi	2|200795	0.02838	0.00209	16290
k__Bacteria|p__Planctomycetes	2|203682	0.0008	6e-05	450
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	55.23829	4.06522	10499298
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	21.73865	1.59984	8815378
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	15.29487	1.12561	4569636
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	4.21779	0.31041	1557910
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.34871	0.09926	316179
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.99457	0.07319	198621
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.60437	0.04448	166172
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.38679	0.02847	1062
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.10363	0.00763	15822
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.03817	0.00281	6715
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.02838	0.00209	16290
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00498	0.00037	1397
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.0008	6e-05	450
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	55.19692	4.06218	10492021
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	21.65589	1.59375	8796425
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	15.29487	1.12561	4569636
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	4.21779	0.31041	1557910
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.11687	0.08219	278015
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.91844	0.06759	187529
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.60437	0.04448	166172
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.23185	0.01706	38164
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.10363	0.00763	15822
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.07613	0.0056	11092
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.04137	0.00304	7277
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.03817	0.00281	6715
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.03384	0.00249	7530
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.02918	0.00215	4413
