#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-23/I20-1079-23.sam.bz2 --bowtie2out Metaphlan/I20-1079-23/I20-1079-23.bowtie2 --output_file Metaphlan/I20-1079-23/I20-1079-23.tsv --sample_id_key I20-1079-23 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-23	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34338641
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	89.71927	10.23003	34297594
k__Viruses	10239	10.28073	1.17224	41047
k__Bacteria|p__Actinobacteria	2|201174	51.39885	5.86063	13120867
k__Bacteria|p__Proteobacteria	2|1224	33.2548	3.7918	19844435
k__Viruses|p__Viruses_unclassified	10239|	10.28073	1.17224	41047
k__Bacteria|p__Firmicutes	2|1239	5.03606	0.57423	1306036
k__Bacteria|p__Chloroflexi	2|200795	0.0282	0.00322	25073
k__Bacteria|p__Planctomycetes	2|203682	0.00136	0.00015	1183
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	51.03368	5.819	12992725
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	33.23413	3.78944	19838793
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	10.28073	1.17224	41047
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.00853	0.45706	970731
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.00793	0.11493	327223
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.36019	0.04107	126889
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.0282	0.00322	25073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02067	0.00236	5642
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.01779	0.00203	7293
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00498	0.00057	1253
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00181	0.00021	789
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00136	0.00015	1183
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	51.00489	5.81571	12984925
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	32.78708	3.73847	19675206
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	6.07444	0.69262	21638
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	4.00853	0.45706	970731
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.94877	0.10818	313698
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.39881	0.04547	137508
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.26712	0.03046	103155
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.09307	0.01061	23734
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.05915	0.00674	13525
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.04631	0.00528	25569
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.02879	0.00328	7800
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.0282	0.00322	25073
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02067	0.00236	5642
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.01779	0.00203	7293
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.00498	0.00057	1253
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.00181	0.00021	789
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00136	0.00015	1183
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00133	0.00015	313
