#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-42/I20-1079-42.sam.bz2 --bowtie2out Metaphlan/I20-1079-42/I20-1079-42.bowtie2 --output_file Metaphlan/I20-1079-42/I20-1079-42.tsv --sample_id_key I20-1079-42 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-42	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34267693
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.37615	12.11559	34264179
k__Viruses	10239	0.62385	0.07606	3514
k__Bacteria|p__Actinobacteria	2|201174	79.89649	9.7407	22338526
k__Bacteria|p__Proteobacteria	2|1224	17.47701	2.13074	10953041
k__Bacteria|p__Firmicutes	2|1239	1.97436	0.24071	945767
k__Viruses|p__Viruses_unclassified	10239|	0.62385	0.07606	3514
k__Bacteria|p__Chloroflexi	2|200795	0.02544	0.0031	24186
k__Bacteria|p__Planctomycetes	2|203682	0.00285	0.00035	2659
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	71.51118	8.71839	19977211
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	17.46052	2.12872	10948262
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	8.32292	1.0147	2344436
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.24826	0.15218	657898
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.67251	0.08199	273121
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.62385	0.07606	3514
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.06168	0.00752	16596
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.05019	0.00612	13168
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.02544	0.0031	24186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.01649	0.00201	4779
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.0034	0.00041	1580
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00285	0.00035	2659
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00071	9e-05	283
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	71.47367	8.71382	19966976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	17.35607	2.11599	10906829
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	7.75042	0.9449	2124396
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.24826	0.15218	657898
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.6148	0.07495	256219
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.5725	0.0698	220040
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.32652	0.03981	1824
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.09124	0.01112	33638
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.06168	0.00752	16596
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.05771	0.00704	16902
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.05019	0.00612	13168
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.0286	0.00349	7744
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.02544	0.0031	24186
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.01649	0.00201	4779
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0132	0.00161	7795
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00891	0.00109	2491
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.0034	0.00041	1580
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00285	0.00035	2659
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00071	9e-05	283
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	71.47367	8.71382	19966976
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	17.2183	2.09919	10830635
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	7.48413	0.91244	2042566
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	1.03555	0.12625	563658
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.5725	0.0698	220040
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.5158	0.06288	225187
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.32652	0.03981	1824
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.27433	0.03344	1557
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.26629	0.03247	81830
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.18828	0.02295	82423
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.09124	0.01112	33638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.07059	0.00861	43622
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0.06718	0.00819	32572
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.06409	0.00781	16544
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.06168	0.00752	16596
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.05019	0.00612	13168
