#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-31/I20-1079-31.sam.bz2 --bowtie2out Metaphlan/I20-1079-31/I20-1079-31.bowtie2 --output_file Metaphlan/I20-1079-31/I20-1079-31.tsv --sample_id_key I20-1079-31 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-31	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:27972290
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.73777	8.83878	27971340
k__Viruses	10239	0.26223	0.02324	950
k__Bacteria|p__Actinobacteria	2|201174	70.75708	6.2705	16159153
k__Bacteria|p__Bacteroidetes	2|976	15.49625	1.37328	6892433
k__Bacteria|p__Firmicutes	2|1239	9.40127	0.83314	3170245
k__Bacteria|p__Proteobacteria	2|1224	4.0787	0.36146	1746415
k__Viruses|p__Viruses_unclassified	10239|	0.26223	0.02324	950
k__Bacteria|p__Chloroflexi	2|200795	0.00448	0.0004	3094
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	70.556	6.25268	16108805
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	15.49625	1.37328	6892433
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	7.33769	0.65027	2769096
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	4.01122	0.35547	1732946
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.57748	0.1398	289571
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.41418	0.0367	87988
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.26223	0.02324	950
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.20107	0.01782	50348
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.07036	0.00624	23064
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.05822	0.00516	11891
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.00927	0.00082	1578
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00448	0.0004	3094
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00156	0.00014	526
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	70.46047	6.24422	16089446
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	15.49625	1.37328	6892433
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	7.33769	0.65027	2769096
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	3.29335	0.29186	1593445
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.57748	0.1398	289571
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.62752	0.05561	114706
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.38345	0.03398	82818
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.10785	0.00956	31892
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.09322	0.00826	18456
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.08671	0.00768	23237
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.07807	0.00692	15811
