#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-12/I20-1079-12.sam.bz2 --bowtie2out Metaphlan/I20-1079-12/I20-1079-12.bowtie2 --output_file Metaphlan/I20-1079-12/I20-1079-12.tsv --sample_id_key I20-1079-12 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-12	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34699794
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.03902	11.92684	34697563
k__Viruses	10239	0.96098	0.11573	2231
k__Bacteria|p__Actinobacteria	2|201174	71.73918	8.63924	19640840
k__Bacteria|p__Proteobacteria	2|1224	19.46994	2.34468	12392665
k__Bacteria|p__Firmicutes	2|1239	7.81227	0.9408	2648734
k__Viruses|p__Viruses_unclassified	10239|	0.96098	0.11573	2231
k__Bacteria|p__Chloroflexi	2|200795	0.01172	0.00141	11003
k__Bacteria|p__Planctomycetes	2|203682	0.00437	0.00053	4029
k__Bacteria|p__Tenericutes	2|544448	0.00153	0.00018	292
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	71.13456	8.56643	19422590
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	19.44119	2.34122	12384435
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	5.87429	0.70741	2108383
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.7475	0.21044	437403
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.96098	0.11573	2231
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.57688	0.06947	210679
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.18138	0.02184	98997
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.02875	0.00346	8230
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.0264	0.00318	7041
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01172	0.00141	11003
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.00683	0.00082	2905
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00437	0.00053	4029
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00228	0.00027	1046
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00153	0.00018	292
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00135	0.00016	530
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	70.95066	8.54428	19369942
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	19.33576	2.32852	12341186
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	5.7587	0.6935	2076568
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.7475	0.21044	437403
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.60386	0.07272	716
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.39723	0.04784	161506
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.18138	0.02184	98997
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.17965	0.02163	49173
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.1793	0.02159	51217
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.11558	0.01392	31815
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.08287	0.00998	30176
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.02875	0.00346	8230
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.02632	0.00317	6997
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02221	0.00267	12949
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.01172	0.00141	11003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.00683	0.00082	2905
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00437	0.00053	4029
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00357	0.00043	985
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.00228	0.00027	1046
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00153	0.00018	292
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00135	0.00016	530
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.00063	8e-05	178
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Nakamurellales	2|201174|1760|1643684	0.00041	5e-05	268
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00036	4e-05	124
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Solirubrobacterales	2|201174|1497346|588673	7e-05	1e-05	44
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	70.95066	8.54428	19369942
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	19.1499	2.30614	12227732
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	5.05594	0.60886	1893519
