#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-28/I20-1079-28.sam.bz2 --bowtie2out Metaphlan/I20-1079-28/I20-1079-28.bowtie2 --output_file Metaphlan/I20-1079-28/I20-1079-28.tsv --sample_id_key I20-1079-28 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-28	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:31994898
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.82772	11.47285	31993975
k__Viruses	10239	0.17228	0.0198	923
k__Bacteria|p__Actinobacteria	2|201174	79.61306	9.14965	21370957
k__Bacteria|p__Bacteroidetes	2|976	9.59618	1.10285	5544266
k__Bacteria|p__Proteobacteria	2|1224	5.60105	0.64371	3322157
k__Bacteria|p__Firmicutes	2|1239	4.99142	0.57365	1733343
k__Viruses|p__Viruses_unclassified	10239|	0.17228	0.0198	923
k__Bacteria|p__Chloroflexi	2|200795	0.02262	0.0026	20271
k__Bacteria|p__Planctomycetes	2|203682	0.00339	0.00039	2981
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	72.80011	8.36666	19610465
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	9.59618	1.10285	5544266
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	6.80142	0.78166	1757443
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	5.59616	0.64315	3320783
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.82035	0.32413	1081216
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.09269	0.12558	268319
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.86035	0.09888	271734
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.20662	0.02375	107067
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.17228	0.0198	923
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.02262	0.0026	20271
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.01142	0.00131	5007
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01049	0.00121	2661
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00489	0.00056	1374
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00339	0.00039	2981
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00103	0.00012	388
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	72.73538	8.35922	19593185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	9.59618	1.10285	5544266
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	6.68341	0.7681	1722152
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	5.55046	0.63789	3303161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.82035	0.32413	1081216
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.09269	0.12558	268319
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.79124	0.09093	256419
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.20662	0.02375	107067
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.11802	0.01356	35291
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.06911	0.00794	15315
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.06473	0.00744	17280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.03711	0.00426	12895
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.02262	0.0026	20271
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.0138	0.00159	72
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.01142	0.00131	5007
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.01049	0.00121	2661
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.00835	0.00096	4646
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00489	0.00056	1374
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00339	0.00039	2981
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00103	0.00012	388
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00025	3e-05	81
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	72.73538	8.35922	19593185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	7.66594	0.88102	4415913
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	6.45111	0.7414	1655289
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	5.49402	0.63141	3274168
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.26932	0.2608	842375
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	1.93024	0.22184	1128353
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.09269	0.12558	268319
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.50975	0.05858	172603
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	0.34278	0.03939	156300
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.23229	0.0267	66863
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.20662	0.02375	107067
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.18794	0.0216	75863
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.17047	0.01959	40131
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.11802	0.01356	35291
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.09265	0.01065	457
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.07603	0.00874	30617
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.06593	0.00758	14361
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.06473	0.00744	17280
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.03711	0.00426	12895
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.03499	0.00402	13068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Morganellaceae	2|1224|1236|91347|1903414	0.03087	0.00355	14101
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.02556	0.00294	14892
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae	2|200795|32061|32064|1508635	0.02262	0.0026	20271
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.01835	0.00211	6269
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Podoviridae	10239|||28883|10744	0.01735	0.00199	79
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.0138	0.00159	72
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales|f__Limnochordaceae	2|1239|1676648|1676649|1676650	0.01142	0.00131	5007
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.01049	0.00121	2661
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2|1224|1236|135613|72276	0.00835	0.00096	4646
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.00489	0.00056	1374
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales|f__Isosphaeraceae	2|203682|203683|112|1763524	0.00339	0.00039	2981
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.00285	0.00033	848
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis	2|1239|186801|186802|543314	0.00196	0.00023	409
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales|f__Rubrobacteraceae	2|201174|84995|84996|84997	0.00103	0.00012	388
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	2|1239|91061|1385|186820	0.00033	4e-05	106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified|f__Gammaproteobacteria_unclassified	2|1224|1236||	0.00025	3e-05	81
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	68.50578	7.87313	18800320
