#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-47/I20-1079-47.sam.bz2 --bowtie2out Metaphlan/I20-1079-47/I20-1079-47.bowtie2 --output_file Metaphlan/I20-1079-47/I20-1079-47.tsv --sample_id_key I20-1079-47 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-47	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:53818610
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	96.59821	10.81532	53799454
k__Viruses	10239	3.40179	0.38087	19156
k__Bacteria|p__Proteobacteria	2|1224	65.25077	7.3056	40503256
k__Bacteria|p__Firmicutes	2|1239	31.27013	3.50106	13261022
k__Viruses|p__Viruses_unclassified	10239|	3.40179	0.38087	19156
k__Bacteria|p__Actinobacteria	2|201174	0.02604	0.00291	6536
k__Bacteria|p__Bacteroidetes	2|976	0.02273	0.00255	14328
k__Bacteria|p__Tenericutes	2|544448	0.01509	0.00169	2681
k__Bacteria|p__Planctomycetes	2|203682	0.00692	0.00078	5931
k__Bacteria|p__Chloroflexi	2|200795	0.00653	0.00073	5700
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	65.14315	7.29355	40474617
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	15.9378	1.78443	6671433
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	11.41655	1.27822	5549208
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	3.40179	0.38087	19156
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.34749	0.37479	891496
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.49963	0.05594	119541
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.10762	0.01205	28639
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.06866	0.00769	29344
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02365	0.00265	5951
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.02273	0.00255	14328
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01509	0.00169	2681
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00692	0.00078	5931
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00653	0.00073	5700
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00239	0.00027	585
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	64.86675	7.2626	40364268
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	15.9378	1.78443	6671433
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	11.41655	1.27822	5549208
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.18821	0.35696	856231
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.49963	0.05594	119541
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.19278	0.02158	65268
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.15928	0.01783	35265
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.10762	0.01205	28639
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.08246	0.00923	44710
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.06866	0.00769	29344
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.02282	0.00255	5717
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.02273	0.00255	14328
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.01509	0.00169	2681
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00692	0.00078	5931
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00653	0.00073	5700
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.00213	0.00024	520
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00116	0.00013	371
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00083	9e-05	234
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00025	3e-05	65
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	64.52385	7.22421	40169656
