#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-02/I20-1079-02.sam.bz2 --bowtie2out Metaphlan/I20-1079-02/I20-1079-02.bowtie2 --output_file Metaphlan/I20-1079-02/I20-1079-02.tsv --sample_id_key I20-1079-02 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-02	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:21296968
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.8496	6.12302	21284635
k__Viruses	10239	6.1504	0.40127	12333
k__Bacteria|p__Actinobacteria	2|201174	45.34553	2.95848	6960998
k__Bacteria|p__Proteobacteria	2|1224	26.71026	1.74266	8885004
k__Bacteria|p__Firmicutes	2|1239	13.84583	0.90334	2926152
k__Bacteria|p__Bacteroidetes	2|976	7.9201	0.51673	2501091
k__Viruses|p__Viruses_unclassified	10239|	6.1504	0.40127	12333
k__Bacteria|p__Chloroflexi	2|200795	0.01123	0.00073	5711
k__Bacteria|p__Planctomycetes	2|203682	0.00832	0.00054	4323
k__Bacteria|p__Synergistetes	2|508458	0.00663	0.00043	1179
k__Bacteria|p__Tenericutes	2|544448	0.00171	0.00011	177
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	44.4476	2.89989	6773070
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	26.70818	1.74252	8884642
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	8.46774	0.55246	1954359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.9201	0.51673	2501091
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	6.1504	0.40127	12333
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.66663	0.23922	572197
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.01365	0.06613	299734
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.88837	0.05796	186551
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.67235	0.04387	93520
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.02547	0.00166	6342
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01123	0.00073	5711
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00956	0.00062	1377
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00832	0.00054	4323
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00663	0.00043	1179
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00208	0.00014	362
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00171	0.00011	177
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	44.43673	2.89918	6771638
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	26.22819	1.7112	8786822
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	8.46774	0.55246	1954359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.9201	0.51673	2501091
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	4.06703	0.26534	7088
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.60132	0.23496	563304
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	1.01365	0.06613	299734
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.74617	0.04868	165017
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.67235	0.04387	93520
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.4519	0.02948	89156
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.1422	0.00928	21534
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.06531	0.00426	8893
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02647	0.00173	8361
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.02547	0.00166	6342
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.01123	0.00073	5711
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.01087	0.00071	1432
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.00956	0.00062	1377
