#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-07/I20-1079-07.sam.bz2 --bowtie2out Metaphlan/I20-1079-07/I20-1079-07.bowtie2 --output_file Metaphlan/I20-1079-07/I20-1079-07.tsv --sample_id_key I20-1079-07 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-07	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:35047437
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.43344	11.06853	35039783
k__Viruses	10239	1.56656	0.17615	7654
k__Bacteria|p__Actinobacteria	2|201174	65.88342	7.40838	16990693
k__Bacteria|p__Proteobacteria	2|1224	26.17649	2.94346	15107744
k__Bacteria|p__Firmicutes	2|1239	6.35654	0.71477	2928230
k__Viruses|p__Viruses_unclassified	10239|	1.56656	0.17615	7654
k__Bacteria|p__Chloroflexi	2|200795	0.01218	0.00137	10682
k__Bacteria|p__Tenericutes	2|544448	0.0025	0.00028	445
k__Bacteria|p__Planctomycetes	2|203682	0.00231	0.00026	1989
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	65.38444	7.35227	16818306
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	26.17203	2.94296	15106551
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	2.25749	0.25385	1054299
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	1.83483	0.20632	1197355
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.56656	0.17615	7654
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.49163	0.16773	492411
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.77259	0.08687	184165
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.47204	0.05308	165615
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.02621	0.00295	6504
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01218	0.00137	10682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00446	0.0005	1193
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.0025	0.00028	445
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00231	0.00026	1989
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00073	8e-05	268
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	65.30306	7.34312	16796872
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	25.74825	2.89531	14950092
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	2.25749	0.25385	1054299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	1.83483	0.20632	1197355
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.4197	0.15964	475491
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.77259	0.08687	184165
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.37283	0.04192	140988
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.36333	0.04086	123544
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.11252	0.01265	580
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.09921	0.01116	24627
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.08109	0.00912	21356
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.07193	0.00809	16920
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.06045	0.0068	32915
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.02621	0.00295	6504
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.01218	0.00137	10682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00446	0.0005	1193
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.0025	0.00028	445
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00231	0.00026	1989
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00073	8e-05	268
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.0003	3e-05	78
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	65.30306	7.34312	16796872
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	25.60767	2.8795	14869965
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	2.25749	0.25385	1054299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	1.5601	0.17543	1087296
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.16594	0.13111	398049
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.77259	0.08687	184165
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.62169	0.06991	3398
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.37283	0.04192	140988
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.36333	0.04086	123544
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.22873	0.02572	92031
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.14058	0.01581	80127
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.11252	0.01265	580
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.10779	0.01212	40585
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.09661	0.01086	23906
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.09453	0.01063	25527
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.08109	0.00912	21356
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2|1224|1236|135613|72276	0.06045	0.0068	32915
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.05275	0.00593	11249
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.05144	0.00578	11330
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.046	0.00517	18028
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.02621	0.00295	6504
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	2|1239|91061|1385|186820	0.01532	0.00172	4548
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae	2|200795|32061|32064|1508635	0.01218	0.00137	10682
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.00446	0.0005	1193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.00385	0.00043	1123
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.0026	0.00029	721
