#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-44/I20-1079-44.sam.bz2 --bowtie2out Metaphlan/I20-1079-44/I20-1079-44.bowtie2 --output_file Metaphlan/I20-1079-44/I20-1079-44.tsv --sample_id_key I20-1079-44 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-44	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:32920265
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.10202	11.55323	32916196
k__Viruses	10239	0.89798	0.10469	4069
k__Bacteria|p__Actinobacteria	2|201174	72.13844	8.40984	18945949
k__Bacteria|p__Proteobacteria	2|1224	18.36287	2.14073	10967934
k__Bacteria|p__Firmicutes	2|1239	7.32299	0.85371	2217653
k__Bacteria|p__Bacteroidetes	2|976	1.27181	0.14827	779616
k__Viruses|p__Viruses_unclassified	10239|	0.89798	0.10469	4069
k__Bacteria|p__Chloroflexi	2|200795	0.00493	0.00057	4477
k__Bacteria|p__Planctomycetes	2|203682	0.00054	6e-05	485
k__Bacteria|p__Tenericutes	2|544448	0.00045	5e-05	82
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	72.04139	8.39853	18921609
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	18.35344	2.13963	10965288
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	5.13361	0.59847	1384794
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.52227	0.17747	572668
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.27181	0.14827	779616
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.89798	0.10469	4069
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.66711	0.07777	260191
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.09348	0.0109	23421
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00942	0.0011	2646
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00493	0.00057	4477
