#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-46/I20-1079-46.sam.bz2 --bowtie2out Metaphlan/I20-1079-46/I20-1079-46.bowtie2 --output_file Metaphlan/I20-1079-46/I20-1079-46.tsv --sample_id_key I20-1079-46 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-46	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:24336764
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.37868	7.5034	24325302
k__Viruses	10239	4.62132	0.36356	11462
k__Bacteria|p__Actinobacteria	2|201174	56.88594	4.47519	10534504
k__Bacteria|p__Proteobacteria	2|1224	20.21329	1.59017	8126717
k__Bacteria|p__Firmicutes	2|1239	9.48766	0.74639	2337615
k__Bacteria|p__Bacteroidetes	2|976	8.768	0.68978	3313838
k__Viruses|p__Viruses_unclassified	10239|	4.62132	0.36356	11462
k__Bacteria|p__Chloroflexi	2|200795	0.01078	0.00085	6614
k__Bacteria|p__Planctomycetes	2|203682	0.00847	0.00067	5097
k__Bacteria|p__Synergistetes	2|508458	0.00389	0.00031	835
k__Bacteria|p__Tenericutes	2|544448	0.00066	5e-05	82
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	55.88479	4.39643	10278207
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	20.20279	1.58935	8124678
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	8.768	0.68978	3313838
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	4.62132	0.36356	11462
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.10947	0.32329	1215047
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.51141	0.27624	669697
