#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-26/I20-1079-26.sam.bz2 --bowtie2out Metaphlan/I20-1079-26/I20-1079-26.bowtie2 --output_file Metaphlan/I20-1079-26/I20-1079-26.tsv --sample_id_key I20-1079-26 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-26	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34674066
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.83245	9.60478	34673506
k__Viruses	10239	0.16755	0.01612	560
k__Bacteria|p__Actinobacteria	2|201174	53.02913	5.10188	13263103
k__Bacteria|p__Proteobacteria	2|1224	19.52673	1.87865	10188236
k__Bacteria|p__Firmicutes	2|1239	19.49979	1.87605	7461788
k__Bacteria|p__Bacteroidetes	2|976	7.75726	0.74632	3745736
k__Viruses|p__Viruses_unclassified	10239|	0.16755	0.01612	560
k__Bacteria|p__Chloroflexi	2|200795	0.01793	0.00173	13454
k__Bacteria|p__Planctomycetes	2|203682	0.00162	0.00016	1189
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	51.63086	4.96735	12834065
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	19.49553	1.87564	10181102
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	17.79336	1.71188	7109624
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	7.75726	0.74632	3745736
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.39746	0.13445	428868
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.33513	0.12845	265318
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.34965	0.03364	79259
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.16755	0.01612	560
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0312	0.003	7134
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.0197	0.00189	6872
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01793	0.00173	13454
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00195	0.00019	715
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00162	0.00016	1189
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.0008	8e-05	170
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	51.55895	4.96043	12818054
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	19.43076	1.86941	10161645
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	17.79336	1.71188	7109624
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	7.75726	0.74632	3745736
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.33513	0.12845	265318
