#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-08/I20-1079-08.sam.bz2 --bowtie2out Metaphlan/I20-1079-08/I20-1079-08.bowtie2 --output_file Metaphlan/I20-1079-08/I20-1079-08.tsv --sample_id_key I20-1079-08 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-08	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:22290404
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	93.03968	7.622	22266170
k__Viruses	10239	6.96032	0.5702	24234
k__Bacteria|p__Actinobacteria	2|201174	63.85371	5.23103	12112705
k__Bacteria|p__Proteobacteria	2|1224	14.60557	1.19652	6177891
k__Bacteria|p__Firmicutes	2|1239	14.56591	1.19327	3969656
k__Viruses|p__Viruses_unclassified	10239|	6.96032	0.5702	24234
k__Bacteria|p__Tenericutes	2|544448	0.00566	0.00046	736
k__Bacteria|p__Chloroflexi	2|200795	0.00455	0.00037	2906
k__Bacteria|p__Planctomycetes	2|203682	0.00245	0.0002	1624
k__Bacteria|p__Bacteroidetes	2|976	0.00103	8e-05	474
k__Bacteria|p__Synergistetes	2|508458	0.0008	7e-05	178
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	63.22749	5.17973	11964365
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.60244	1.19626	6177282
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	6.96032	0.5702	24234
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.39957	0.52427	1960087
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.53522	0.28961	755961
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.90934	0.23834	950541
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.70504	0.13968	297830
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.56972	0.04667	138125
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.0565	0.00463	10215
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.01675	0.00137	5237
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00566	0.00046	736
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00455	0.00037	2906
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00313	0.00026	609
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00245	0.0002	1624
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.00103	8e-05	474
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.0008	7e-05	178
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	63.22085	5.17918	11963117
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	14.52267	1.18973	6154054
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.39957	0.52427	1960087
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	3.35474	0.27483	726632
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.90934	0.23834	950541
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.70504	0.13968	297830
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.53023	0.04344	1798
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.39981	0.03275	106143
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.18048	0.01479	29329
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.16991	0.01392	31982
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.0565	0.00463	10215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.05648	0.00463	13990
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02329	0.00191	9238
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.01675	0.00137	5237
