#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-35/I20-1079-35.sam.bz2 --bowtie2out Metaphlan/I20-1079-35/I20-1079-35.bowtie2 --output_file Metaphlan/I20-1079-35/I20-1079-35.tsv --sample_id_key I20-1079-35 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-35	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34798027
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.61545	12.6593	34796007
k__Viruses	10239	0.38455	0.04887	2020
k__Bacteria|p__Actinobacteria	2|201174	83.00198	10.54803	27136476
k__Bacteria|p__Firmicutes	2|1239	10.83034	1.37634	3725938
k__Bacteria|p__Proteobacteria	2|1224	5.77541	0.73395	3930311
k__Viruses|p__Viruses_unclassified	10239|	0.38455	0.04887	2020
k__Bacteria|p__Tenericutes	2|544448	0.00552	0.0007	1114
k__Bacteria|p__Chloroflexi	2|200795	0.00195	0.00025	1929
k__Bacteria|p__Planctomycetes	2|203682	0.00025	3e-05	239
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	82.95569	10.54215	27123033
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.55832	0.83344	1778544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	5.76162	0.7322	3926144
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.85096	0.36231	1454979
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.4201	0.18047	491955
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.38455	0.04887	2020
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.04532	0.00576	13172
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.0138	0.00175	4167
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00552	0.0007	1114
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00195	0.00025	1929
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00097	0.00012	271
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00095	0.00012	460
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00025	3e-05	239
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	82.90956	10.53629	27110572
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	6.55832	0.83344	1778544
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	5.7135	0.72608	3904891
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.85096	0.36231	1454979
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.35738	0.1725	474756
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.06273	0.00797	17199
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.04614	0.00586	12461
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.04346	0.00552	12583
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.03603	0.00458	13847
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.0138	0.00175	4167
