#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-18/I20-1079-18.sam.bz2 --bowtie2out Metaphlan/I20-1079-18/I20-1079-18.bowtie2 --output_file Metaphlan/I20-1079-18/I20-1079-18.tsv --sample_id_key I20-1079-18 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-18	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:23686970
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	95.17719	8.09206	23669729
k__Viruses	10239	4.82281	0.41004	17241
k__Bacteria|p__Actinobacteria	2|201174	68.84548	5.85331	13656517
k__Bacteria|p__Proteobacteria	2|1224	14.9605	1.27196	6551690
k__Bacteria|p__Firmicutes	2|1239	11.35646	0.96554	3454629
k__Viruses|p__Viruses_unclassified	10239|	4.82281	0.41004	17241
k__Bacteria|p__Chloroflexi	2|200795	0.00695	0.00059	4605
k__Bacteria|p__Tenericutes	2|544448	0.00358	0.0003	482
k__Bacteria|p__Synergistetes	2|508458	0.00224	0.00019	519
k__Bacteria|p__Planctomycetes	2|203682	0.00198	0.00017	1287
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	67.38892	5.72947	13276081
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.95851	1.27179	6551287
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	5.51271	0.4687	1751527
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	4.82281	0.41004	17241
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.92697	0.24885	1012486
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.51655	0.21396	616983
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.39388	0.11851	368538
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.39163	0.0333	70843
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.06112	0.0052	11469
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.0086	0.00073	2790
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00695	0.00059	4605
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00358	0.0003	482
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00224	0.00019	519
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.002	0.00017	403
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00198	0.00017	1287
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00155	0.00013	429
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	67.10655	5.70546	13226839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	14.88713	1.26572	6525464
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	5.51271	0.4687	1751527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.92697	0.24885	1012486
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.42238	0.20595	600786
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	1.65793	0.14096	5421
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.18034	0.10035	327712
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.39163	0.0333	70843
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.28212	0.02399	49193
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.21354	0.01816	40826
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.09417	0.00801	16197
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.06112	0.0052	11469
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.04834	0.00411	19900
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.02304	0.00196	5923
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.0086	0.00073	2790
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00695	0.00059	4605
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00358	0.0003	482
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.00224	0.00019	519
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.002	0.00017	403
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00198	0.00017	1287
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00155	0.00013	429
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.00025	2e-05	49
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	67.10655	5.70546	13226839
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	14.82489	1.26043	6498639
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	5.51271	0.4687	1751527
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.47156	0.21013	874442
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	1.65793	0.14096	5421
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.63106	0.13867	441931
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.18034	0.10035	327712
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.4931	0.04192	100682
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.39163	0.0333	70843
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.28924	0.02459	87317
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae	2|201174|1760|2037|2049	0.28212	0.02399	49193
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.2289	0.01946	41786
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.18608	0.01582	36361
