#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-33/I20-1079-33.sam.bz2 --bowtie2out Metaphlan/I20-1079-33/I20-1079-33.bowtie2 --output_file Metaphlan/I20-1079-33/I20-1079-33.tsv --sample_id_key I20-1079-33 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-33	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:21560884
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.32097	7.5442	21552160
k__Viruses	10239	2.67903	0.20768	8724
k__Bacteria|p__Actinobacteria	2|201174	71.97422	5.57935	13088112
k__Bacteria|p__Firmicutes	2|1239	13.42025	1.04032	3701981
k__Bacteria|p__Proteobacteria	2|1224	11.90767	0.92307	4751370
k__Viruses|p__Viruses_unclassified	10239|	2.67903	0.20768	8724
k__Bacteria|p__Planctomycetes	2|203682	0.00842	0.00065	5472
k__Bacteria|p__Chloroflexi	2|200795	0.00762	0.00059	4604
k__Bacteria|p__Synergistetes	2|508458	0.00161	0.00012	339
k__Bacteria|p__Tenericutes	2|544448	0.00074	6e-05	90
k__Bacteria|p__Bacteroidetes	2|976	0.00044	3e-05	192
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	70.63337	5.47541	12773550
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	11.89864	0.92237	4749705
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	6.86678	0.5323	1990126
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.95928	0.2294	974318
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	2.67903	0.20768	8724
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.5064	0.19429	556485
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.27543	0.09887	303286
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	1.0784	0.0836	178276
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.06436	0.00499	11011
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00938	0.00073	2776
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00904	0.0007	1665
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00842	0.00065	5472
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00762	0.00059	4604
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.00161	0.00012	339
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00105	8e-05	265
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00074	6e-05	90
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.00044	3e-05	192
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	70.47215	5.46291	12744200
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	11.82535	0.91669	4729382
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	6.86678	0.5323	1990126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	2.95928	0.2294	974318
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.38164	0.18462	536798
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.0784	0.0836	178276
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	1.02385	0.07937	258479
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.37339	0.02894	1140
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.25158	0.0195	44807
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.15999	0.0124	29126
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.12476	0.00967	19687
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.06436	0.00499	11011
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.05043	0.00391	11822
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02234	0.00173	8387
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.00938	0.00073	2776
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00904	0.0007	1665
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00842	0.00065	5472
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00762	0.00059	4604
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0.00161	0.00012	339
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0.00123	0.0001	224
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00105	8e-05	265
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00074	6e-05	90
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00051	4e-05	114
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	0.00044	3e-05	192
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	70.47215	5.46291	12744200
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	11.72648	0.90902	4690534
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	6.86678	0.5323	1990126
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	2.61512	0.20272	871403
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.5056	0.11671	376259
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	1.09274	0.08471	3493
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.0784	0.0836	178276
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	1.02385	0.07937	258479
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.63231	0.04902	117713
