#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-51/I20-1079-51.sam.bz2 --bowtie2out Metaphlan/I20-1079-51/I20-1079-51.bowtie2 --output_file Metaphlan/I20-1079-51/I20-1079-51.tsv --sample_id_key I20-1079-51 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-51	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:27753387
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.6954	10.02635	27752088
k__Viruses	10239	0.3046	0.03063	1299
k__Bacteria|p__Actinobacteria	2|201174	79.82186	8.02767	17772682
k__Bacteria|p__Proteobacteria	2|1224	18.68848	1.8795	9627357
k__Bacteria|p__Firmicutes	2|1239	1.15012	0.11567	325334
k__Viruses|p__Viruses_unclassified	10239|	0.3046	0.03063	1299
k__Bacteria|p__Chloroflexi	2|200795	0.03174	0.00319	24893
k__Bacteria|p__Planctomycetes	2|203682	0.00215	0.00022	1657
k__Bacteria|p__Tenericutes	2|544448	0.00104	0.0001	165
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	79.6294	8.00832	17729474
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	18.6878	1.87943	9627195
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.05291	0.10589	282964
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.3046	0.03063	1299
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.17395	0.01749	39054
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.06125	0.00616	34265
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.03332	0.00335	7092
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.03174	0.00319	24893
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01811	0.00182	4020
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00264	0.00027	1013
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00215	0.00022	1657
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00104	0.0001	165
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00068	7e-05	162
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00041	4e-05	134
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	79.58038	8.00339	17720102
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	18.56312	1.86689	9586226
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.01947	0.10253	275329
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.16083	0.01618	741
