#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-41/I20-1079-41.sam.bz2 --bowtie2out Metaphlan/I20-1079-41/I20-1079-41.bowtie2 --output_file Metaphlan/I20-1079-41/I20-1079-41.tsv --sample_id_key I20-1079-41 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-41	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:30643454
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.19986	12.13316	30639212
k__Viruses	10239	0.80014	0.09787	4242
k__Bacteria|p__Actinobacteria	2|201174	87.68574	10.72487	23922333
k__Bacteria|p__Proteobacteria	2|1224	9.70506	1.18703	6090226
k__Bacteria|p__Firmicutes	2|1239	1.75741	0.21495	579066
k__Viruses|p__Viruses_unclassified	10239|	0.80014	0.09787	4242
k__Bacteria|p__Chloroflexi	2|200795	0.04598	0.00562	43861
k__Bacteria|p__Planctomycetes	2|203682	0.00354	0.00043	3313
k__Bacteria|p__Tenericutes	2|544448	0.00213	0.00026	413
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	87.4505	10.6961	23857015
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	9.70059	1.18648	6088928
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.49335	0.18265	503317
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.80014	0.09787	4242
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.21557	0.02637	59792
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.20969	0.02565	54139
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.05323	0.00651	21074
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.04598	0.00562	43861
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01798	0.0022	4854
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00447	0.00055	1298
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00354	0.00043	3313
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00213	0.00026	413
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00168	0.00021	672
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00115	0.00014	536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	87.44991	10.69602	23856849
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	9.66968	1.1827	6074497
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.43107	0.17503	485208
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.20969	0.02565	54139
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.19796	0.02421	54370
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.07682	0.0094	430
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.06228	0.00762	18109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.05323	0.00651	21074
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.04598	0.00562	43861
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.01798	0.0022	4854
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.01761	0.00215	5422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.01745	0.00213	6452
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.01347	0.00165	7979
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00447	0.00055	1298
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00354	0.00043	3313
k__Bacteria|p__Tenericutes|c__Mollicutes|o__Acholeplasmatales	2|544448|31969|186329	0.00213	0.00026	413
k__Bacteria|p__Actinobacteria|c__Rubrobacteria|o__Rubrobacterales	2|201174|84995|84996	0.00168	0.00021	672
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.00115	0.00014	536
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00059	7e-05	166
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	87.44991	10.69602	23856849
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	9.64291	1.17943	6057905
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.98583	0.12058	363645
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.37737	0.04616	97019
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Caudovirales|f__Siphoviridae	10239|||28883|10699	0.29245	0.03577	1303
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	0.20969	0.02565	54139
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.19555	0.02392	53645
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.07682	0.0094	430
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	0.05323	0.00651	21074
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae	2|1239|91061|186826|186828	0.0497	0.00608	17992
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales|f__Roseiflexaceae	2|200795|32061|32064|1508635	0.04598	0.00562	43861
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Erwiniaceae	2|1224|1236|91347|1903409	0.02676	0.00327	16592
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified	2|1239|91061|1385|	0.02623	0.00321	6087
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	0.01817	0.00222	6552
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales|f__Thermoleophilaceae	2|201174|1497346|588674|320796	0.01798	0.0022	4854
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	0.01763	0.00216	6144
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.01761	0.00215	5422
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.01745	0.00213	6452
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales|f__Ectothiorhodospiraceae	2|1224|1236|135613|72276	0.01347	0.00165	7979
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	2|1239|91061|1385|186820	0.0108	0.00132	3462
