#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-50/I20-1079-50.sam.bz2 --bowtie2out Metaphlan/I20-1079-50/I20-1079-50.bowtie2 --output_file Metaphlan/I20-1079-50/I20-1079-50.tsv --sample_id_key I20-1079-50 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-50	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:36408708
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	94.53965	13.73696	36365326
k__Viruses	10239	5.46035	0.79341	43382
k__Bacteria|p__Actinobacteria	2|201174	69.96669	10.16642	22109304
k__Bacteria|p__Proteobacteria	2|1224	13.39279	1.94602	10616149
k__Bacteria|p__Firmicutes	2|1239	11.16433	1.62222	3624671
k__Viruses|p__Viruses_unclassified	10239|	5.46035	0.79341	43382
k__Bacteria|p__Chloroflexi	2|200795	0.0103	0.0015	11675
k__Bacteria|p__Tenericutes	2|544448	0.00297	0.00043	685
k__Bacteria|p__Planctomycetes	2|203682	0.00256	0.00037	2842
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	69.74419	10.13409	22037032
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	13.34569	1.93918	10599023
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.64504	1.54676	3447738
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	5.46035	0.79341	43382
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.50605	0.07353	169889
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.21005	0.03052	68014
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04661	0.00677	16260
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.0118	0.00172	6248
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.01138	0.00165	3747
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.0103	0.0015	11675
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.00297	0.00043	685
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00256	0.00037	2842
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00144	0.00021	796
k__Bacteria|p__Actinobacteria|c__Rubrobacteria	2|201174|84995	0.00108	0.00016	511
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00049	7e-05	866
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	69.63712	10.11853	21999780
