#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-30/I20-1079-30.sam.bz2 --bowtie2out Metaphlan/I20-1079-30/I20-1079-30.bowtie2 --output_file Metaphlan/I20-1079-30/I20-1079-30.tsv --sample_id_key I20-1079-30 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-30	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:31648055
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.21208	11.59188	31644501
k__Viruses	10239	0.78792	0.09206	3554
k__Bacteria|p__Actinobacteria	2|201174	80.01153	9.3485	21029880
k__Bacteria|p__Proteobacteria	2|1224	14.17998	1.65678	8540057
k__Bacteria|p__Firmicutes	2|1239	3.17859	0.37138	940251
k__Bacteria|p__Bacteroidetes	2|976	1.83341	0.21421	1126385
k__Viruses|p__Viruses_unclassified	10239|	0.78792	0.09206	3554
k__Bacteria|p__Chloroflexi	2|200795	0.00558	0.00065	5081
k__Bacteria|p__Planctomycetes	2|203682	0.00299	0.00035	2847
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	79.86438	9.33131	20993068
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	14.17509	1.65621	8538699
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	2.00145	0.23385	519496
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	1.83341	0.21421	1126385
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.85717	0.10015	299050
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.78792	0.09206	3554
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.31713	0.03705	120441
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.13839	0.01617	34554
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.00876	0.00102	2258
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00558	0.00065	5081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00489	0.00057	1358
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00299	0.00035	2847
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00284	0.00033	1264
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	79.67168	9.30879	20943661
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	13.94913	1.62981	8453577
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	2.00145	0.23385	519496
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	1.83341	0.21421	1126385
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.82985	0.09696	292334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.31713	0.03705	120441
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.20106	0.02349	71039
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.17896	0.02091	45726
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.13125	0.01533	32467
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.10115	0.01182	436
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.02732	0.00319	6716
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.02489	0.00291	14083
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.01374	0.00161	3681
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.00876	0.00102	2258
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.00714	0.00083	2087
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00558	0.00065	5081
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00489	0.00057	1358
