#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-06/I20-1079-06.sam.bz2 --bowtie2out Metaphlan/I20-1079-06/I20-1079-06.bowtie2 --output_file Metaphlan/I20-1079-06/I20-1079-06.tsv --sample_id_key I20-1079-06 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-06	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:64383845
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	90.63593	13.0604	64314328
k__Viruses	10239	9.36407	1.34934	69517
k__Bacteria|p__Proteobacteria	2|1224	62.39723	8.99127	49824302
k__Bacteria|p__Firmicutes	2|1239	28.13911	4.05477	14415234
k__Viruses|p__Viruses_unclassified	10239|	9.36407	1.34934	69517
k__Bacteria|p__Bacteroidetes	2|976	0.0767	0.01105	62213
k__Bacteria|p__Tenericutes	2|544448	0.01281	0.00185	2930
k__Bacteria|p__Chloroflexi	2|200795	0.00796	0.00115	8948
k__Bacteria|p__Actinobacteria	2|201174	0.00212	0.00031	701
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	62.28571	8.9752	49786106
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	19.91952	2.87035	10731375
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	9.36407	1.34934	69517
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	4.42923	0.63824	2343811
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	3.37962	0.48699	1213569
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.41074	0.05919	126479
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.11152	0.01607	38196
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	0.0767	0.01105	62213
k__Bacteria|p__Tenericutes|c__Mollicutes	2|544448|31969	0.01281	0.00185	2930
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00796	0.00115	8948
