#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-34/I20-1079-34.sam.bz2 --bowtie2out Metaphlan/I20-1079-34/I20-1079-34.bowtie2 --output_file Metaphlan/I20-1079-34/I20-1079-34.tsv --sample_id_key I20-1079-34 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-34	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:34163740
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.21588	10.7444	34159980
k__Viruses	10239	0.78412	0.08492	3760
k__Bacteria|p__Actinobacteria	2|201174	68.18293	7.38374	17220703
k__Bacteria|p__Proteobacteria	2|1224	30.14523	3.26452	16653889
k__Bacteria|p__Firmicutes	2|1239	0.87787	0.09507	277097
k__Viruses|p__Viruses_unclassified	10239|	0.78412	0.08492	3760
k__Bacteria|p__Chloroflexi	2|200795	0.00838	0.00091	7076
k__Bacteria|p__Planctomycetes	2|203682	0.00147	0.00016	1215
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	60.47986	6.54955	15341124
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	30.14268	3.26425	16653233
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	7.65974	0.8295	1869224
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	0.78412	0.08492	3760
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.53325	0.05775	146276
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	0.33226	0.03598	127491
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.04332	0.00469	10355
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.01055	0.00114	2579
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.00838	0.00091	7076
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00255	0.00028	656
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00182	0.0002	751
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00147	0.00016	1215
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	60.46777	6.54824	15338212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	29.64313	3.21015	16486220
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	7.44902	0.80668	1804261
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified	10239|||	0.6392	0.06922	3173
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.53049	0.05745	145708
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	0.48202	0.0522	157849
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	0.33226	0.03598	127491
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.21072	0.02282	64963
k__Bacteria|p__Actinobacteria|c__Thermoleophilia|o__Thermoleophilales	2|201174|1497346|588674	0.04332	0.00469	10355
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	2|1224|1236|135613	0.0174	0.00188	9124
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.01055	0.00114	2579
k__Bacteria|p__Chloroflexi|c__Chloroflexia|o__Chloroflexales	2|200795|32061|32064	0.00838	0.00091	7076
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	2|201174|1760|2037	0.00743	0.0008	1753
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0.00467	0.00051	1159
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	0.00276	0.0003	568
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.00255	0.00028	656
k__Bacteria|p__Firmicutes|c__Limnochordia|o__Limnochordales	2|1239|1676648|1676649	0.00182	0.0002	751
k__Bacteria|p__Planctomycetes|c__Planctomycetia|o__Planctomycetales	2|203682|203683|112	0.00147	0.00016	1215
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Gammaproteobacteria_unclassified	2|1224|1236|	0.00013	1e-05	40
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	60.46777	6.54824	15338212
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	29.54376	3.19939	16432352
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	7.23775	0.7838	1746839
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified|o__Viruses_unclassified|f__Viruses_unclassified	10239||||	0.6392	0.06922	3173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	0.48202	0.0522	157849
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.31714	0.03434	65468
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	0.26463	0.02866	103407
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.21127	0.02288	57422
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.21072	0.02282	64963
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	0.16855	0.01825	62092
