#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-37/I20-1079-37.sam.bz2 --bowtie2out Metaphlan/I20-1079-37/I20-1079-37.bowtie2 --output_file Metaphlan/I20-1079-37/I20-1079-37.tsv --sample_id_key I20-1079-37 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-37	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:27615097
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	97.7211	9.73451	27609685
k__Viruses	10239	2.2789	0.22701	5412
k__Bacteria|p__Actinobacteria	2|201174	59.18513	5.89574	13780214
k__Bacteria|p__Verrucomicrobia	2|74201	14.63278	1.45765	4068058
k__Bacteria|p__Firmicutes	2|1239	13.66525	1.36127	4569051
k__Bacteria|p__Proteobacteria	2|1224	10.20307	1.01638	5167659
k__Viruses|p__Viruses_unclassified	10239|	2.2789	0.22701	5412
k__Bacteria|p__Chloroflexi	2|200795	0.02643	0.00263	20448
k__Bacteria|p__Planctomycetes	2|203682	0.00423	0.00042	3222
k__Bacteria|p__Synergistetes	2|508458	0.00324	0.00032	881
k__Bacteria|p__Tenericutes	2|544448	0.00096	0.0001	152
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	57.90351	5.76807	13365798
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	14.63278	1.45765	4068058
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	12.03227	1.1986	3949917
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	10.19767	1.01584	5166292
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	2.2789	0.22701	5412
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.24555	0.12408	406486
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.05458	0.10505	362998
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.55181	0.05497	249133
