#mpa_v30_CHOCOPhlAn_201901
#/nfs/research/biomics/WorkFlows/MetaPhlan/meta_env/bin/metaphlan --input_type fastq --samout Metaphlan/I20-1079-38/I20-1079-38.sam.bz2 --bowtie2out Metaphlan/I20-1079-38/I20-1079-38.bowtie2 --output_file Metaphlan/I20-1079-38/I20-1079-38.tsv --sample_id_key I20-1079-38 --add_viruses -t rel_ab_w_read_stats --bowtie2db /nfs/research/biomics/WorkFlows/MetaPhlan/references/ --index mpa_v30_CHOCOPhlAn_201901 --bt2_ps sensitive-local --nproc 12
#I20-1079-38	Metaphlan_Analysis
#estimated_reads_mapped_to_known_clades:33859167
#clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.28906	11.74857	33850956
k__Viruses	10239	1.71094	0.20451	8211
k__Bacteria|p__Actinobacteria	2|201174	70.82088	8.46528	20174567
k__Bacteria|p__Proteobacteria	2|1224	16.95396	2.02652	10225564
k__Bacteria|p__Firmicutes	2|1239	10.49841	1.25488	3437292
k__Viruses|p__Viruses_unclassified	10239|	1.71094	0.20451	8211
k__Bacteria|p__Chloroflexi	2|200795	0.01101	0.00132	10266
k__Bacteria|p__Planctomycetes	2|203682	0.00325	0.00039	2974
k__Bacteria|p__Tenericutes	2|544448	0.00155	0.00018	293
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	70.71813	8.453	20146804
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	16.9488	2.0259	10224097
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	6.71511	0.80266	1710534
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	2.25476	0.26951	1146071
k__Viruses|p__Viruses_unclassified|c__Viruses_unclassified	10239||	1.71094	0.20451	8211
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.52689	0.18251	579931
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.08129	0.00972	22017
k__Bacteria|p__Actinobacteria|c__Thermoleophilia	2|201174|1497346	0.02078	0.00248	5482
k__Bacteria|p__Chloroflexi|c__Chloroflexia	2|200795|32061	0.01101	0.00132	10266
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.00516	0.00062	1467
k__Bacteria|p__Planctomycetes|c__Planctomycetia	2|203682|203683	0.00325	0.00039	2974
k__Bacteria|p__Firmicutes|c__Limnochordia	2|1239|1676648	0.00166	0.0002	756
